Central campus?,Arts quad?,Has eating area inside?,Is that eating area dining hall?,Eng quad?,Dorm?,Big auditorium?,Has parking lot?,Need reservation to use?,Has gym?,Ag quad?,Off campus?,Has elevator?,Freshman dorm?,Office hour held?,Did rbg live here?,Is it connected to other buildings?,Does it have taco tuesday?,Building
1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.5,1,0,Duffield Hall
1,1,0,0.5,0,0,1,0,0,0,0,0,1,0,1,0.5,1,0.5,Goldwin Smith Hall
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,Olin Library
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,Mann Library
1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0.5,0,0,Gates Hall
1,1,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0.5,Uris Library
1,0,0,0.5,0,0,0,1,1,1,0,0,0,0,0,0.5,0,0.5,Barton Hall
1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0.5,1,0,Statler Hall
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,RPCC
0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,Rose House
0,0,0,0.5,0,1,0,1,0,0,0,1,1,0,0,0,0,0.5,Cascadilla Hall
0,0,0,0.5,0,1,0,1,0,0,0,0,1,1,0,1,0,0.5,Dickson Hall
1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.5,1,0,Kennedy Hall
1,0,0,0.5,0,0,0,1,1,0,0,0,1,0,0,0.5,0,0.5,Cornell Health
1,0,0,0.5,1,0,0,0,0,0,0,0,1,0,1,0.5,1,0.5,Rhodes